Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Latency (1:1),RsIpc_zerocopy,amd_ryzen7_7700_nothp,0.79665599969303,0.795095625335307,0.7978154994816578,0.014449435702531835,0.8489093000207504,0.845893399432498,0.8531491172925598,0.020524438342710952,6223.561347317295,6219.07005514085,6247.653686095993,36.64163020482199,10,1,1
Latency (1:1),RsIpc_copy,amd_ryzen7_7700_nothp,0.1910140003928973,0.19064024968429294,0.19184899997526372,0.00158404575407116,0.21204760068030742,0.2048707988296883,0.2159410746435242,0.017622728364667186,21619.51645433825,21465.009883794006,21678.83800188793,188.5727432849262,10,1,1
Latency (1:1),MpQueue,amd_ryzen7_7700_nothp,1.733623500513204,1.7141738753707614,1.7452047500228218,0.04922040586896341,2.014112500482952,1.9772344323018842,2.0597392249283075,0.05144254014204427,1986.7232631773963,1966.0590835016594,1995.2592197013532,37.017498614507815,10,1,1
Latency (1:1),MpPipe,amd_ryzen7_7700_nothp,0.6886467494950921,0.6817976247930346,0.6902728753175325,0.011526775300510612,1.0642134348381695,1.037800504473128,1.4670624282280222,0.35873990612608075,3998.3195614143888,3968.647368379543,4033.231016058592,58.05296140063983,10,1,1
Latency (1:1),MpShm,amd_ryzen7_7700_nothp,0.8218585003305634,0.7994272505129629,0.8453555008145486,0.025463403397643,0.8879721500761666,0.8543532506018892,0.9042994198580345,0.02975329390624847,6000.524412259349,5836.769321943097,6202.679407192767,196.87073176771017,10,1,1
Latency (1:1),ZeroMQ,amd_ryzen7_7700_nothp,1.711516250452405,1.6933647500536608,1.7299772500791732,0.026861703924652296,2.5651685851881023,2.497671870164619,2.6561615680066373,0.1652005023527182,5749.981478674596,5700.373137050734,5814.618378039208,1117.7374075278537,10,1,1
Latency (1:1),PosixIpc,amd_ryzen7_7700_nothp,0.24297374966408825,0.23981399954209337,0.25140512525467784,0.04688200788385021,0.37355464965003193,0.36947757583220664,0.38202474929676106,0.01728824473193735,14368.250865963715,12355.77074681797,14490.308074944483,1490.119781980716,10,1,1
Scalability (1:10),RsIpc_zerocopy,amd_ryzen7_7700_nothp,1.941419750028217,1.919728862435477,1.957024899957105,0.03848819830955161,2.1889695196805405,2.17660670968462,2.2062378407144934,0.26704819920061096,2545.860167650574,2531.2947000996687,2559.6382923324945,46.76801379998681,10,10,1
Scalability (1:10),RsIpc_copy,amd_ryzen7_7700_nothp,2.632861599977332,2.6107851373126323,2.6403118623875343,0.1147576045382723,2.86658530814384,2.812714614754441,3.015082571760559,0.3766008048463126,1831.0947638227267,1824.462174805613,1840.822174345419,76.73981812279672,10,10,1
Scalability (1:10),MpQueue,amd_ryzen7_7700_nothp,10.511996025206827,10.321550887510966,10.555651662525634,0.17819991747951303,15.045853215394347,14.98372891350482,15.233894391111793,0.2875595403597837,338.79506310900547,336.3566348490464,342.83434226676644,4.37465913795939,10,10,1
Scalability (1:10),MpPipe,amd_ryzen7_7700_nothp,4.274581624940765,4.253472312689155,4.285133587450218,0.021538346406481463,4.869427804896987,4.8131640906131,4.924632371140889,0.0872108383651197,344.3786489530141,342.93855891989057,345.22340866965584,2.0029445052193258,10,10,1
Scalability (1:10),MpShm,amd_ryzen7_7700_nothp,8.390554600009636,8.322839287484385,8.454320349915179,0.17682484397674625,9.88068099852535,9.717267987345622,10.058603580296676,0.26275899474499714,553.8593085311584,548.1150073959822,555.8462159163727,10.610330107989746,10,10,1
Scalability (1:10),ZeroMQ,amd_ryzen7_7700_nothp,11.420326324923735,11.317919537555099,11.685731087641216,0.3995686162611871,24.573222481513774,24.131746386036877,24.812638153065116,0.5514106788340386,354.3288060444613,347.9135428344498,358.68693459687677,15.560677703114086,10,10,1
Scalability (1:10),PosixIpc,amd_ryzen7_7700_nothp,4.94132967492078,4.890689050353103,4.95458676234648,0.07757361226893479,5.972052742543383,5.825019447969681,6.0788138995149,0.6140756439680767,778.5565378223214,773.0123426019776,784.1093008051688,13.408276926852386,10,10,1
Contention (10:1),RsIpc_zerocopy,amd_ryzen7_7700_nothp,0.8465724995403434,0.838203874309329,0.8562662505937624,0.011001098668859923,58.84161046060524,53.32624211026692,86.02100862024602,19.938810284905784,5927.222032557085,5807.958488875822,6085.926361203043,138.6314880027002,10,1,10
Contention (10:1),RsIpc_copy,amd_ryzen7_7700_nothp,1.8669489995772892,1.8601752499307622,1.8936352494165476,0.040085130631934376,3.3388218500840603,3.3167587994785213,3.388573374331827,0.09304571927430813,14542.225981809126,14358.723403834863,14728.98873432445,221.2493835046226,10,1,10
Contention (10:1),MpQueue,amd_ryzen7_7700_nothp,1.9249684996793803,1.891736500965635,1.93988225009889,0.038087098454301145,5.301069810566844,5.258687440523832,5.38647026510313,0.15356208703306481,1791.7314767405242,1771.8869560845687,1810.9024027439361,30.95632424681782,10,1,10
Contention (10:1),MpPipe,amd_ryzen7_7700_nothp,0.783781000336603,0.7787126251059817,0.7846507496651611,0.003968185959519067,75.63938387456815,73.46269531226882,84.75878262199984,21.186786057999658,3531.530020246131,3512.3976156596864,3546.309886634917,22.954683863406526,10,1,10
Contention (10:1),MpShm,amd_ryzen7_7700_nothp,1.2106249992029916,1.197611374891494,1.2846508750499197,0.07735769242867449,37.54499960997245,35.2634599047908,39.26244445812246,3.0032802700924695,4984.494943076899,4936.552958875101,5051.264683217294,88.65194976123357,10,1,10
Contention (10:1),ZeroMQ,amd_ryzen7_7700_nothp,29.159799250464857,28.598149124036354,29.434167000090383,0.7194621395004585,62.771774305365454,60.09007529742121,65.8959179934801,8.816330762576273,3329.708190653343,3305.651310175687,3334.8352660549012,57.29456251404326,10,1,10
Contention (10:1),PosixIpc,amd_ryzen7_7700_nothp,2.3799280002094747,2.3733481257295352,2.3974805003490474,0.17804628552535584,2.6292194554480375,2.5088216271478814,4.059107753291755,1.2051891820674083,11302.678198731934,11027.80669032321,11338.609981983369,705.9108463111007,10,1,10
Size 1MB,RsIpc_zerocopy,amd_ryzen7_7700_nothp,0.0705047505107359,0.06970362483116332,0.07118674921002821,0.0009306569068720801,0.08158384395756002,0.07836469792891877,0.08497255212205346,0.0036543183876712967,17336.524499163464,17109.833677221992,17508.21027850284,267.88313321855617,10,1,1
Size 1MB,RsIpc_copy,amd_ryzen7_7700_nothp,0.3101607503595005,0.3089455005920172,0.3111060004812316,0.002208771141624679,0.3231724500983546,0.3199093509147133,0.38293786749818554,0.19595363497071355,3270.554570783387,3220.6823325030955,3289.4199342708866,48.49009361477078,10,1,1
