Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Latency (1:1),RsIpc_zerocopy,0,1.14915700032725,1.2707362651417498,3958.1930150592016,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,1,1.1284204992989544,1.2198756273573963,4021.3766210487793,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,2,1.1135485001432244,1.2267877359408885,4006.0793307791787,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,3,1.1152569968544412,1.2137241776508745,4015.288337341347,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,4,1.1144825002702419,1.2254409195156768,4041.7908885884513,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,5,1.1291989976598416,1.2325843759026611,4021.6839167624207,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,6,1.1263075030001346,1.698978557760711,3919.4403975613855,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,7,1.1373144952813163,1.2628730908181751,3972.33042286185,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,8,1.1255145000177436,1.228887411489268,3977.099193934547,1,1,intel_i5_10400f
Latency (1:1),RsIpc_zerocopy,9,1.135116002842551,1.2321368500852259,3937.2826411838387,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,0,0.8136420001392253,1.0520164247282102,5715.420760775295,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,1,0.8038884989218786,1.0754176180489596,5721.054087723875,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,2,0.9278100005758461,1.0162525413761614,4875.608066705015,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,3,0.7987329991010483,1.0482295175461336,5751.330504981492,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,4,0.9470750010223128,1.165837536173058,4839.673532007568,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,5,0.9503410001343582,1.1703937499260066,4802.000610016681,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,6,0.793744002294261,1.0478600307396848,5786.374993033903,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,7,0.9275435004383326,1.1750482473144077,4883.507676198489,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,8,0.9274200019717682,1.2182832420512568,4826.297053019366,1,1,intel_i5_10400f
Latency (1:1),RsIpc_copy,9,0.8111385031952523,0.9006215645786142,5804.614907881253,1,1,intel_i5_10400f
Latency (1:1),MpQueue,0,4.089117999683367,4.219020828459179,715.9520737215757,1,1,intel_i5_10400f
Latency (1:1),MpQueue,1,4.106992000743048,4.201729494670872,714.0488032603702,1,1,intel_i5_10400f
Latency (1:1),MpQueue,2,4.128056501940591,4.528220230786247,714.3258706109675,1,1,intel_i5_10400f
Latency (1:1),MpQueue,3,4.1229960006603505,4.205485649217735,715.2640378145203,1,1,intel_i5_10400f
Latency (1:1),MpQueue,4,4.12945350035443,4.253335320245242,706.6888497714302,1,1,intel_i5_10400f
Latency (1:1),MpQueue,5,3.851163997751428,3.996668781110202,751.3455831337329,1,1,intel_i5_10400f
Latency (1:1),MpQueue,6,3.6355949960125145,3.7236583450430776,788.4166843050502,1,1,intel_i5_10400f
Latency (1:1),MpQueue,7,3.881645498040598,4.817883190989961,739.3628004046103,1,1,intel_i5_10400f
Latency (1:1),MpQueue,8,3.920022998499917,4.1401648169267,740.4348142782416,1,1,intel_i5_10400f
Latency (1:1),MpQueue,9,3.9087925033527426,4.000898061422049,745.3270113766513,1,1,intel_i5_10400f
Latency (1:1),MpPipe,0,3.8704709986632224,4.37826094123011,734.1221610603127,1,1,intel_i5_10400f
Latency (1:1),MpPipe,1,3.701775498484494,4.205657298589358,786.9085251370751,1,1,intel_i5_10400f
Latency (1:1),MpPipe,2,3.3961629997065756,3.835553777171299,833.6621214421248,1,1,intel_i5_10400f
Latency (1:1),MpPipe,3,3.378362500370713,3.843948462817935,828.4130653582142,1,1,intel_i5_10400f
Latency (1:1),MpPipe,4,3.6681950005004182,4.18233636271907,784.0978165553984,1,1,intel_i5_10400f
Latency (1:1),MpPipe,5,3.629890001320746,4.155027708038688,788.5546692864784,1,1,intel_i5_10400f
Latency (1:1),MpPipe,6,3.6282015025790315,4.1722765289159724,782.631095763876,1,1,intel_i5_10400f
Latency (1:1),MpPipe,7,3.723779496795032,3.881690539783449,823.1958506591544,1,1,intel_i5_10400f
Latency (1:1),MpPipe,8,3.4268434974364936,3.8489069669594755,825.5520238726131,1,1,intel_i5_10400f
Latency (1:1),MpPipe,9,3.624465000029886,4.144412045789068,789.8730321891233,1,1,intel_i5_10400f
Latency (1:1),MpShm,0,1.2193064976599999,1.3148490025196224,3834.6923401112067,1,1,intel_i5_10400f
Latency (1:1),MpShm,1,1.1974040025961585,1.336094844955369,3852.0533779957796,1,1,intel_i5_10400f
Latency (1:1),MpShm,2,1.2304009978834074,1.3388270473660668,3751.7813257551516,1,1,intel_i5_10400f
Latency (1:1),MpShm,3,1.2330095014476683,1.3464053140342005,3775.7921306586386,1,1,intel_i5_10400f
Latency (1:1),MpShm,4,1.2190484994789585,1.3121309057896724,3794.6710429368836,1,1,intel_i5_10400f
Latency (1:1),MpShm,5,1.2142964988015592,1.3150603210669942,3823.9122469043623,1,1,intel_i5_10400f
Latency (1:1),MpShm,6,1.2371760021778755,1.3484427580988267,3751.0276415118356,1,1,intel_i5_10400f
Latency (1:1),MpShm,7,1.2126969995733816,1.3860813160135892,3784.191872114853,1,1,intel_i5_10400f
Latency (1:1),MpShm,8,1.2268489990674425,1.3253481405263303,3802.7193872413227,1,1,intel_i5_10400f
Latency (1:1),MpShm,9,1.215333497384563,1.3243596420943504,3786.26173880214,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,0,4.544406499917386,5.996300294136745,2096.3515668108093,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,1,3.740881998965051,5.941780907523936,1878.673462905659,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,2,4.360217997600557,5.969947779958604,2014.7697150130566,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,3,3.7311175001377705,5.9917880694411005,1800.7748890650219,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,4,3.217068500816822,5.547681030802779,1673.1337720375896,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,5,3.865531998599181,6.485226927688929,1902.476550579302,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,6,3.6948829983884934,6.214241282796138,1677.3801161603185,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,7,4.013101501186611,6.0526151201338525,1959.6953577106965,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,8,4.813306499272585,6.390039020261611,2003.1980590057203,1,1,intel_i5_10400f
Latency (1:1),ZeroMQ,9,4.070109498570673,6.505858865712071,2053.9424214192372,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,0,0.974165497609647,1.067544538746006,4417.385884325559,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,1,1.065261003532214,1.1381540028378367,4204.87693358196,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,2,0.9992579980462324,1.57009855705838,4271.816140455886,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,3,0.9252439995179884,1.5341902463842492,4484.070210406997,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,4,0.9760235043358989,1.2598704808624468,4406.910003203085,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,5,0.9808245013118722,1.565135670825847,4336.815713664204,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,6,1.0833345004357398,1.191224601789145,4104.394573290999,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,7,0.9422990005987231,1.0577506194385933,4510.745148245375,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,8,0.9234965000359807,1.5440797632618415,4493.4031187048095,1,1,intel_i5_10400f
Latency (1:1),PosixIpc,9,0.933798000914976,1.1554721435823017,4596.81549493652,1,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,0,3.693591200863011,3.853074541519163,1336.5400282998414,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,1,3.6887877507979283,3.863518747406488,1330.3641117973152,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,2,3.7374634001025697,3.8911162450385746,1314.024208736595,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,3,3.688477951436653,3.8656396385777043,1339.0811741004104,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,4,3.7085596999531845,3.8963756704324624,1327.9581687199611,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,5,3.7158844501391286,3.8691545580295497,1328.535913587412,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,6,3.695187549237744,3.8651266677334206,1327.765565003358,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,7,3.68495919938141,3.840966156902141,1338.5338407087947,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,8,3.6885977002384607,3.850489383476088,1335.2001341125078,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_zerocopy,9,3.7122768015251495,3.8546070098600467,1325.2372969425235,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,0,9.5076979498117,9.630309176682204,535.0585695676976,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,1,9.40463754996017,9.536628347326769,545.6299399735892,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,2,9.535105800750898,9.604503034111985,537.5824485509806,10,1,intel_i5_10400f
