Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Latency (1:1),RsIpc_zerocopy,0,1.2051205000034315,1.2634528199816941,4319.179846212461,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,1,1.2205440000059298,1.2765537800316908,4285.449037369787,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,2,1.2187660000222422,1.313089000006471,4278.324886836875,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,3,1.1974054999939199,1.3385522199740763,4339.566981707822,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,4,1.2805774999833375,1.3725570500366762,4104.311805183943,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,5,1.184967499995082,1.2549514999790292,4393.824869422011,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,6,1.2026109999965229,1.268967360017541,4330.789677016764,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,7,1.2228685000081896,1.8751355599749797,4214.313305809097,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,8,1.1837404999823775,1.3049980000164396,4331.6577787985625,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_zerocopy,9,1.218491000031463,1.2821111899904736,4290.193424159166,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,0,0.7840339999916068,0.8528634000066405,7221.7933587259695,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,1,0.6655715000078999,0.7532169600062845,7694.815042746207,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,2,0.6577820000188694,0.7323155600113296,7023.226852929866,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,3,0.729863000003661,0.8247352599858004,7487.860427749801,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,4,0.7696819999978288,0.833141500006036,7307.409374123494,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,5,0.7412484999633762,0.8146124599801396,7608.020418679811,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,6,0.6347140000002582,0.722519200035663,7429.091415788128,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,7,0.7496899999921425,1.2018716900041686,7006.085076548151,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,8,0.7851164999976845,0.8821277500243249,7068.762793141713,1,1,laptop_amd_9_5900HX
Latency (1:1),RsIpc_copy,9,0.7705240000177582,1.2022290099690744,7132.746896060628,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,0,2.992492999993601,3.8564987500149073,1176.7740752235518,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,1,2.272258999994392,3.197596470017175,1387.7949327480433,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,2,2.336194000008618,3.491816389991415,1322.5576656837402,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,3,2.444658999962712,3.3398391299715517,1306.6595324795503,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,4,2.878165000026911,3.553246879977792,1216.2531363141895,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,5,2.4415979999901083,3.4382783900150584,1302.320452123722,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,6,2.457198000001881,3.64087050002297,1298.8554594371753,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,7,2.427046500002916,3.408612730015648,1304.8724450231414,1,1,laptop_amd_9_5900HX
